# Extracted subset of Unihan_IRGSources.txt (kTotalStrokes field only)
# Source: Unicode Character Database, Unihan Database
# Full release: Unicode 17.0.0
# Original file: Unihan_IRGSources.txt (from Unihan.zip)
# Official source URL: https://www.unicode.org/Public/17.0.0/ucd/Unihan.zip
# Unihan.zip sha256: f7a48b2b545acfaa77b2d607ae28747404ce02baefee16396c5d2d7a8ef34b5e
# Unihan_IRGSources.txt internal header: Date: 2025-07-24 00:00:00 GMT [KL], Unicode Version 17.0.0
# Retrieved: 2026-09-05
# License: Unicode License v3 (see https://www.unicode.org/license.txt) -- (c) 2025 Unicode, Inc.
# This is a FILTERED SUBSET containing only the kTotalStrokes lines for
# the 1940 distinct Han characters actually used in this project's HSK1-6
# vocabulary (data/hsk/hsk{1..6}/hsk{N}_vocabulary_production.json,
# word field, after stripping the 12 known digit-suffix disambiguation
# artifacts). Regenerate via extract_vocabulary_characters.py against a
# freshly pinned Unihan.zip if the character set changes.
# Format (unchanged from the original Unihan file): U+XXXX<TAB>kTotalStrokes<TAB>VALUE
U+4FE9	kTotalStrokes	9
U+4FEE	kTotalStrokes	9
U+4FF1	kTotalStrokes	10
U+500D	kTotalStrokes	10
U+5012	kTotalStrokes	10
U+5019	kTotalStrokes	10
U+501F	kTotalStrokes	10
U+5021	kTotalStrokes	10
U+503C	kTotalStrokes	10
U+503E	kTotalStrokes	10
U+5047	kTotalStrokes	11
U+505A	kTotalStrokes	11
U+505C	kTotalStrokes	11
U+5065	kTotalStrokes	10
U+5076	kTotalStrokes	11
U+5077	kTotalStrokes	11
U+507F	kTotalStrokes	11
U+5085	kTotalStrokes	12
U+508D	kTotalStrokes	12
U+50A8	kTotalStrokes	12
U+50AC	kTotalStrokes	13
U+50B2	kTotalStrokes	12
U+50BB	kTotalStrokes	13
U+50CF	kTotalStrokes	13
U+513F	kTotalStrokes	2
U+5141	kTotalStrokes	4
U+5143	kTotalStrokes	4
U+5144	kTotalStrokes	5
U+5145	kTotalStrokes	6
U+5148	kTotalStrokes	6
U+5149	kTotalStrokes	6
U+514B	kTotalStrokes	7
U+514D	kTotalStrokes	7
U+5154	kTotalStrokes	8
U+5165	kTotalStrokes	2
U+5168	kTotalStrokes	6
U+516B	kTotalStrokes	2
U+516C	kTotalStrokes	4
U+516D	kTotalStrokes	4
U+5170	kTotalStrokes	5
U+5171	kTotalStrokes	6
U+5173	kTotalStrokes	6
U+5174	kTotalStrokes	6
U+5175	kTotalStrokes	7
U+5176	kTotalStrokes	8
U+5177	kTotalStrokes	8
U+5178	kTotalStrokes	8
U+517B	kTotalStrokes	9
U+517C	kTotalStrokes	10
U+5185	kTotalStrokes	4
U+518C	kTotalStrokes	5
U+518D	kTotalStrokes	6
U+5192	kTotalStrokes	9
U+5199	kTotalStrokes	5
U+519B	kTotalStrokes	6
U+519C	kTotalStrokes	6
U+51A0	kTotalStrokes	9
U+51AC	kTotalStrokes	5
U+51B0	kTotalStrokes	6
U+51B2	kTotalStrokes	6
U+51B3	kTotalStrokes	6
U+51B5	kTotalStrokes	7
U+51B7	kTotalStrokes	7
U+51BB	kTotalStrokes	7
U+51C0	kTotalStrokes	8
U+51C6	kTotalStrokes	10
U+51C9	kTotalStrokes	10
U+51CC	kTotalStrokes	10
U+51CF	kTotalStrokes	11
U+51E0	kTotalStrokes	2
U+51E1	kTotalStrokes	3
U+51ED	kTotalStrokes	8
U+51FA	kTotalStrokes	5
U+51FB	kTotalStrokes	5
U+5200	kTotalStrokes	2
U+5206	kTotalStrokes	4
U+5207	kTotalStrokes	4
U+520A	kTotalStrokes	5
U+5212	kTotalStrokes	6
U+5217	kTotalStrokes	6
U+5219	kTotalStrokes	6
U+521A	kTotalStrokes	6
U+521B	kTotalStrokes	6
U+521D	kTotalStrokes	7
U+5220	kTotalStrokes	7
U+5224	kTotalStrokes	7
U+5229	kTotalStrokes	7
U+522B	kTotalStrokes	7
U+522E	kTotalStrokes	8
U+5230	kTotalStrokes	8
U+5236	kTotalStrokes	8
U+5237	kTotalStrokes	8
U+5238	kTotalStrokes	8
U+5239	kTotalStrokes	8
U+523A	kTotalStrokes	8
U+523B	kTotalStrokes	8
U+524D	kTotalStrokes	9
U+5251	kTotalStrokes	9
U+5267	kTotalStrokes	10
U+5269	kTotalStrokes	12
U+526A	kTotalStrokes	11
U+526F	kTotalStrokes	11
U+5272	kTotalStrokes	12
U+529B	kTotalStrokes	2
U+529D	kTotalStrokes	4
U+529E	kTotalStrokes	4
U+529F	kTotalStrokes	5
U+52A0	kTotalStrokes	5
U+52A1	kTotalStrokes	5
U+52A3	kTotalStrokes	6
U+52A8	kTotalStrokes	6
U+52A9	kTotalStrokes	7
U+52AA	kTotalStrokes	7
U+52B1	kTotalStrokes	7
U+52B2	kTotalStrokes	7
U+52B3	kTotalStrokes	7
U+52BF	kTotalStrokes	8
U+52C7	kTotalStrokes	9
U+52C9	kTotalStrokes	9
U+52E4	kTotalStrokes	13
U+52FA	kTotalStrokes	3
U+5300	kTotalStrokes	4
U+5305	kTotalStrokes	5
U+5306	kTotalStrokes	5
U+5316	kTotalStrokes	4
U+5317	kTotalStrokes	5
U+5319	kTotalStrokes	11
U+5339	kTotalStrokes	4
U+533A	kTotalStrokes	4
U+533B	kTotalStrokes	7
U+5341	kTotalStrokes	2
U+5343	kTotalStrokes	3
U+5347	kTotalStrokes	4
U+5348	kTotalStrokes	4
U+534A	kTotalStrokes	5
U+534E	kTotalStrokes	6
U+534F	kTotalStrokes	6
U+5355	kTotalStrokes	8
U+5356	kTotalStrokes	8
U+5357	kTotalStrokes	9
U+535A	kTotalStrokes	12
U+5360	kTotalStrokes	5
U+5361	kTotalStrokes	5
U+5367	kTotalStrokes	8
U+536B	kTotalStrokes	3
U+5370	kTotalStrokes	5
U+5371	kTotalStrokes	6
U+5373	kTotalStrokes	7
U+5374	kTotalStrokes	7
U+5377	kTotalStrokes	8
U+5382	kTotalStrokes	2
U+5385	kTotalStrokes	4
U+5386	kTotalStrokes	4
U+5389	kTotalStrokes	5
U+538B	kTotalStrokes	6
U+538C	kTotalStrokes	6
U+5395	kTotalStrokes	8
U+5398	kTotalStrokes	9
U+539A	kTotalStrokes	9
U+539F	kTotalStrokes	10
U+53A2	kTotalStrokes	11
U+53A6	kTotalStrokes	12
U+53A8	kTotalStrokes	12
U+53BB	kTotalStrokes	5
U+53BF	kTotalStrokes	7
U+53C2	kTotalStrokes	8
U+53C8	kTotalStrokes	2
U+53C9	kTotalStrokes	3
U+53CA	kTotalStrokes	3
U+53CB	kTotalStrokes	4
U+53CC	kTotalStrokes	4
U+53CD	kTotalStrokes	4
U+53D1	kTotalStrokes	5
U+53D4	kTotalStrokes	8
U+53D6	kTotalStrokes	8
U+53D7	kTotalStrokes	8
U+53D8	kTotalStrokes	8
U+53D9	kTotalStrokes	9
U+53E3	kTotalStrokes	3
U+53E4	kTotalStrokes	5
U+53E5	kTotalStrokes	5
U+53E6	kTotalStrokes	5
U+53EA	kTotalStrokes	5
U+53EB	kTotalStrokes	5
U+53EC	kTotalStrokes	5
U+53EF	kTotalStrokes	5
U+53F0	kTotalStrokes	5
U+53F2	kTotalStrokes	5
U+53F3	kTotalStrokes	5
U+53F6	kTotalStrokes	5
U+53F7	kTotalStrokes	5
U+53F8	kTotalStrokes	5
U+5403	kTotalStrokes	6
U+5404	kTotalStrokes	6
U+5408	kTotalStrokes	6
U+5409	kTotalStrokes	6
U+540A	kTotalStrokes	6
U+540C	kTotalStrokes	6
U+540D	kTotalStrokes	6
U+540E	kTotalStrokes	6
U+5410	kTotalStrokes	6
U+5411	kTotalStrokes	6
U+5413	kTotalStrokes	6
U+5417	kTotalStrokes	6
U+541E	kTotalStrokes	7
U+5426	kTotalStrokes	7
U+5427	kTotalStrokes	7
U+5428	kTotalStrokes	7
U+542B	kTotalStrokes	7
U+542C	kTotalStrokes	7
U+542F	kTotalStrokes	7
U+5435	kTotalStrokes	7
U+5438	kTotalStrokes	6
U+5439	kTotalStrokes	7
U+5440	kTotalStrokes	7
U+5446	kTotalStrokes	7
U+5448	kTotalStrokes	7
U+544A	kTotalStrokes	7
U+5458	kTotalStrokes	7
U+5462	kTotalStrokes	8
U+5468	kTotalStrokes	8
U+5473	kTotalStrokes	8
U+547C	kTotalStrokes	8
U+547D	kTotalStrokes	8
U+548C	kTotalStrokes	8
U+5496	kTotalStrokes	8
U+54A8	kTotalStrokes	9
U+54AC	kTotalStrokes	9
U+54B1	kTotalStrokes	9
U+54B3	kTotalStrokes	9
U+54B8	kTotalStrokes	9
U+54C1	kTotalStrokes	9
U+54C7	kTotalStrokes	9
U+54C8	kTotalStrokes	9
U+54CD	kTotalStrokes	9
U+54CE	kTotalStrokes	8
U+54E5	kTotalStrokes	10
U+54E6	kTotalStrokes	10
U+54EA	kTotalStrokes	9
U+54ED	kTotalStrokes	10
U+54F2	kTotalStrokes	10
U+5509	kTotalStrokes	10
U+552E	kTotalStrokes	11
U+552F	kTotalStrokes	11
U+5531	kTotalStrokes	11
U+5546	kTotalStrokes	11
U+554A	kTotalStrokes	10
U+5561	kTotalStrokes	11
U+5564	kTotalStrokes	11
U+5566	kTotalStrokes	11
U+5582	kTotalStrokes	12
U+5584	kTotalStrokes	12
U+558A	kTotalStrokes	12
U+559C	kTotalStrokes	12
U+559D	kTotalStrokes	12
U+55B7	kTotalStrokes	12
U+55BB	kTotalStrokes	12
U+55D3	kTotalStrokes	13
U+55EF	kTotalStrokes	13
U+55FD	kTotalStrokes	14
U+5609	kTotalStrokes	14
U+561B	kTotalStrokes	14
U+5632	kTotalStrokes	15
U+5634	kTotalStrokes	16
U+563F	kTotalStrokes	15
U+5668	kTotalStrokes	16
U+566A	kTotalStrokes	16
U+56DB	kTotalStrokes	5
U+56DE	kTotalStrokes	6
U+56E0	kTotalStrokes	6
U+56E2	kTotalStrokes	6
U+56ED	kTotalStrokes	7
U+56F0	kTotalStrokes	7
U+56F4	kTotalStrokes	7
U+56FA	kTotalStrokes	8
U+56FD	kTotalStrokes	8
U+56FE	kTotalStrokes	8
U+5706	kTotalStrokes	10
U+5708	kTotalStrokes	11
U+571F	kTotalStrokes	3
U+5728	kTotalStrokes	6
U+5730	kTotalStrokes	6
